missing_rate,Method,Accuracy,Macro_F1,Kappa,JS_Div,Wasserstein,Max_Class_Diff
0.1,Majority,0.5131,0.2261,0.0,0.034975,0.076572,0.0493
0.1,KNN (k=5),0.7355,0.7214,0.5598,0.006567,0.014863,0.008
0.1,MICE,0.3895,0.3093,0.1512,0.046938,0.057147,0.0571
0.1,Proposed (BXGB),0.7863,0.7756,0.6397,0.008357,0.019621,0.0099
0.2,Majority,0.5097,0.2251,0.0,0.069902,0.151378,0.098
0.2,KNN (k=5),0.7293,0.7151,0.5529,0.01206,0.026538,0.0148
0.2,MICE,0.3988,0.315,0.159,0.089068,0.111498,0.1115
0.2,Proposed (BXGB),0.7833,0.7696,0.6357,0.016937,0.039586,0.0199
0.3,Majority,0.5164,0.227,0.0,0.104048,0.222506,0.1447
0.3,KNN (k=5),0.7208,0.7068,0.539,0.014206,0.030021,0.0175
0.3,MICE,0.3925,0.3085,0.1523,0.132222,0.170313,0.1703
0.3,Proposed (BXGB),0.7852,0.7701,0.6378,0.022868,0.053174,0.0266
0.4,Majority,0.5182,0.2276,0.0,0.13998,0.296723,0.1924
0.4,KNN (k=5),0.7179,0.7042,0.5324,0.019539,0.042284,0.0238
0.4,MICE,0.3898,0.3056,0.1504,0.174057,0.228245,0.2282
0.4,Proposed (BXGB),0.7848,0.7716,0.6368,0.029636,0.068626,0.0344
0.5,Majority,0.5193,0.2279,0.0,0.17782,0.371039,0.2407
0.5,KNN (k=5),0.7206,0.7064,0.5368,0.024169,0.051457,0.0294
0.5,MICE,0.3884,0.3053,0.1486,0.215343,0.286226,0.2862
0.5,Proposed (BXGB),0.7812,0.7674,0.6304,0.037084,0.085402,0.0427
