missing_rate,class,n,proposed_acc,knn_acc
0.1,Rural,1059,0.886685552407932,0.8205854579792257
0.1,Transitional,449,0.9910913140311804,0.9309576837416481
0.1,Urban,556,0.42985611510791366,0.4154676258992806
0.2,Rural,2077,0.8854116514203177,0.804525758305248
0.2,Transitional,910,0.9912087912087912,0.9307692307692308
0.2,Urban,1088,0.41452205882352944,0.4172794117647059
0.3,Rural,3150,0.8787301587301587,0.7825396825396825
0.3,Transitional,1364,0.9926686217008798,0.9318181818181818
0.3,Urban,1586,0.42118537200504413,0.4167717528373266
0.4,Rural,4220,0.875829383886256,0.7841232227488152
0.4,Transitional,1797,0.9922092376182526,0.9226488592097941
0.4,Urban,2126,0.42897460018814676,0.4134524929444967
0.5,Rural,5300,0.8720754716981132,0.7858490566037736
0.5,Transitional,2250,0.9928888888888889,0.9248888888888889
0.5,Urban,2657,0.42077531050056455,0.4173880316146029
0.6,Rural,6316,0.8690626979100696,0.7864154528182394
0.6,Transitional,2738,0.9923301680058437,0.9192841490138788
0.6,Urban,3230,0.4247678018575851,0.4003095975232198
0.7,Rural,7357,0.8703275791762947,0.7837433736577409
0.7,Transitional,3204,0.9925093632958801,0.9048064918851436
0.7,Urban,3749,0.4313150173379568,0.39557215257401973
